Organization,AvgSalary,OrgCategory
ABRAHAM BALDWIN AGRICULTURAL COLLEGE,24909.84163,Agriculture/Environment
"ACCOUNTING OFFICE, STATE",55819.74835,Accounting
"ADMINISTRATIVE SERVICES, DEPARTMENT OF",52320.9109,Government Administration
"AGRICULTURAL EXPOSITION AUTHORITY, GEORGIA",9564.778469,Agriculture/Environment
"AGRICULTURE, DEPARTMENT OF",30407.69264,Agriculture/Environment
ALBANY STATE UNIVERSITY,31546.17087,Higher Education
ALBANY TECHNICAL COLLEGE,21984.05461,Higher Education
APPLING COUNTY BOARD OF EDUCATION,36888.67353,K-12 Education
ARMSTRONG STATE UNIVERSITY,24801.35267,Higher Education
ATHENS TECHNICAL COLLEGE,20111.88868,Higher Education
ATKINSON COUNTY BOARD OF EDUCATION,30265.47897,K-12 Education
ATLANTA INDEPENDENT SCHOOL SYSTEM,42567.42876,K-12 Education
ATLANTA METROPOLITAN STATE COLLEGE,25548.17312,Higher Education
ATLANTA REGIONAL COMMISSION,58734.32707,Government Administration
ATLANTA TECHNICAL COLLEGE,20781.13792,Higher Education
"AUDITS AND ACCOUNTS, DEPARTMENT OF",57224.47324,Accounting
AUGUSTA TECHNICAL COLLEGE,24394.05097,Higher Education
AUGUSTA UNIVERSITY,54328.87195,Higher Education
"AVIATION AUTHORITY, GEORGIA",52555.44,Transportation
"AVIATION HALL OF FAME, GEORGIA",40666.68,Recreation
BACON COUNTY BOARD OF EDUCATION,31312.0015,K-12 Education
BAINBRIDGE COLLEGE,27504.67293,Higher Education
BAKER COUNTY BOARD OF EDUCATION,22624.22132,K-12 Education
BALDWIN COUNTY BOARD OF EDUCATION,30340.45928,K-12 Education
"BANKING AND FINANCE, DEPARTMENT OF",55036.04505,Regulatory agencies
BANKS COUNTY BOARD OF EDUCATION,29469.62345,K-12 Education
BARROW COUNTY BOARD OF EDUCATION,32144.72232,K-12 Education
BARTOW COUNTY BOARD OF EDUCATION,35086.07862,K-12 Education
"BEHAVIORAL HEALTH AND DEVELOPMENTAL DISABILITIES, DEPARTMENT OF",30183.7775,Social Services
BEN HILL COUNTY BOARD OF EDUCATION,29629.44469,K-12 Education
BERRIEN COUNTY BOARD OF EDUCATION,28675.75325,K-12 Education
BIBB COUNTY BOARD OF EDUCATION,30069.77617,K-12 Education
BLECKLEY COUNTY BOARD OF EDUCATION,29036.93096,K-12 Education
BRANTLEY COUNTY BOARD OF EDUCATION,27958.37554,K-12 Education
BROOKS COUNTY BOARD OF EDUCATION,27133.51459,K-12 Education
BRYAN COUNTY BOARD OF EDUCATION,32641.85795,K-12 Education
"BUILDING AUTHORITY, GEORGIA",33401.48598,Regulatory agencies
BULLOCH COUNTY BOARD OF EDUCATION,30160.01461,K-12 Education
BURKE COUNTY BOARD OF EDUCATION,28523.92142,K-12 Education
BUTTS COUNTY BOARD OF EDUCATION,30163.43883,K-12 Education
